id,pid,ms_subclass,ms_zoning,lot_frontage,lot_area,street,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,fence,misc_val,mo_sold,yr_sold,sale_type,saleprice,natural_log,log_base2,log_base10
1044,527451290,160,2,21.0,1680,0,4,4,4,5,1,26,7,7,4,2.0,6,5,1971,1971,2,8,11,11,3.0,232.0,3,3,5,3.0,3.0,1.0,5.0,387.0,1.0,0.0,96.0,483.0,5,3,1,5,483,504,0,987,0.0,0.0,1,1,2,1,3,4,8,0,0.0,1.0,1971.0,1.0,1.0,264.0,3.0,3.0,3,0,0,0,0,0,0,0.0,0,7,2008,6,85400,11.355101379776661,16.381948449395214,4.931457870689005
2752,906380150,20,3,64.0,7488,0,3,4,4,5,1,23,7,7,1,1.0,7,5,2005,2005,2,8,3,3,0.0,0.0,4,3,4,4.0,3.0,3.0,6.0,393.0,1.0,0.0,815.0,1208.0,5,5,1,5,1208,0,0,1208,0.0,0.0,2,0,2,1,4,6,8,0,0.0,5.0,2005.0,2.0,2.0,632.0,3.0,3.0,3,105,58,0,0,0,0,0.0,0,2,2006,10,183600,12.120514757168527,17.486206533188533,5.2638726768652235
1177,533236070,160,1,24.0,2645,0,4,4,4,5,1,4,7,7,4,2.0,8,5,1999,2000,2,8,9,9,3.0,456.0,4,3,4,4.0,3.0,1.0,6.0,813.0,1.0,0.0,147.0,960.0,5,5,1,5,962,645,0,1607,1.0,0.0,2,1,3,1,4,7,8,0,0.0,1.0,2000.0,1.0,2.0,480.0,3.0,3.0,3,169,0,0,0,0,0,0.0,0,12,2008,2,200000,12.206072645530174,17.609640474436812,5.301029995663981
1480,907418040,20,3,74.0,9627,0,4,4,4,5,1,23,7,7,1,1.0,7,5,2007,2007,2,8,3,3,0.0,0.0,4,3,4,4.0,3.0,3.0,6.0,24.0,1.0,0.0,1327.0,1351.0,5,5,1,5,1361,0,0,1361,0.0,0.0,2,0,3,1,4,6,8,0,0.0,5.0,2007.0,2.0,2.0,610.0,3.0,3.0,3,0,50,0,0,0,0,0.0,0,6,2008,10,193000,12.170445467887022,17.55824132193017,5.285557309007774
324,923202105,20,3,93.0,10114,0,4,4,4,5,1,14,7,7,1,1.0,5,5,2004,2005,2,8,3,3,0.0,0.0,3,3,4,5.0,3.0,3.0,1.0,0.0,1.0,0.0,1430.0,1430.0,5,5,1,5,1430,0,0,1430,0.0,0.0,2,0,3,1,4,7,8,0,0.0,5.0,2004.0,2.0,2.0,624.0,3.0,3.0,3,0,0,0,0,0,0,0.0,0,3,2010,10,173500,12.063932878369052,17.404576137240348,5.239299479126893
1311,902301140,70,2,34.0,4571,0,4,4,4,5,1,8,7,7,1,2.0,5,5,1916,1950,2,8,17,17,0.0,0.0,3,3,6,3.0,3.0,1.0,1.0,0.0,1.0,0.0,624.0,624.0,5,2,0,5,624,720,0,1344,0.0,0.0,1,0,4,1,3,7,8,0,0.0,1.0,1916.0,1.0,3.0,513.0,2.0,2.0,3,0,0,96,0,0,0,0.0,0,5,2008,6,98000,11.49272275765271,16.580494128777296,4.991226075692495
770,905101490,20,3,80.0,8816,0,4,4,4,4,1,6,8,7,1,1.0,5,6,1963,1963,2,8,3,3,0.0,0.0,3,3,4,3.0,3.0,1.0,3.0,651.0,1.0,0.0,470.0,1121.0,5,3,1,5,1121,0,0,1121,1.0,0.0,1,0,3,1,3,5,8,0,0.0,1.0,1963.0,1.0,2.0,480.0,3.0,3.0,3,0,80,0,0,0,0,3.0,0,6,2009,10,139000,11.842229212112828,17.084725357385594,5.143014800254095
2063,905107140,20,3,71.0,8197,0,4,4,4,5,1,6,7,7,1,1.0,6,5,1977,1977,2,8,7,7,3.0,148.0,3,3,5,3.0,3.0,1.0,1.0,0.0,1.0,0.0,660.0,660.0,5,5,1,5,1285,0,0,1285,0.0,0.0,1,1,3,1,3,7,8,1,3.0,5.0,1977.0,2.0,2.0,528.0,3.0,3.0,3,138,0,0,0,0,0,3.0,0,4,2007,10,143500,11.874090314181814,17.130691211337776,5.156851901070011
69,528458070,60,1,72.0,8640,0,4,4,4,5,1,4,7,7,1,2.0,7,5,2009,2009,2,8,3,3,0.0,0.0,3,3,4,4.0,3.0,2.0,6.0,24.0,1.0,0.0,732.0,756.0,5,5,1,5,764,783,0,1547,0.0,0.0,2,1,3,1,4,7,8,0,0.0,5.0,2009.0,1.0,2.0,614.0,3.0,3.0,3,169,45,0,0,0,0,0.0,0,6,2010,5,215200,12.279323107269766,17.71531855233135,5.332842266994351
2062,905106150,20,3,109.0,8724,0,4,4,4,5,1,6,7,7,1,1.0,5,5,1968,1968,2,8,3,3,0.0,0.0,3,3,5,4.0,3.0,1.0,4.0,492.0,1.0,0.0,402.0,894.0,5,4,1,5,894,0,0,894,0.0,0.0,1,0,3,1,3,5,8,1,1.0,5.0,1968.0,3.0,2.0,450.0,3.0,3.0,3,0,0,0,0,0,0,0.0,0,5,2007,10,129000,11.76756768334381,16.977011540085343,5.110589710299249
351,527131030,120,3,40.0,5664,0,3,4,4,5,1,3,7,7,5,1.0,8,5,2000,2000,2,8,12,12,0.0,0.0,4,3,4,4.0,3.0,1.0,6.0,1158.0,1.0,0.0,343.0,1501.0,5,5,1,5,1659,0,0,1659,1.0,0.0,2,0,2,1,5,5,8,1,5.0,5.0,2000.0,3.0,2.0,499.0,3.0,3.0,3,212,59,0,0,0,0,0.0,0,10,2009,10,278000,12.535376392672774,18.084725357385594,5.444044795918076
12,527165230,20,3,0.0,7980,0,3,4,4,5,1,20,7,7,1,1.0,6,7,1992,2007,2,8,11,11,0.0,0.0,3,4,4,4.0,3.0,1.0,5.0,935.0,1.0,0.0,233.0,1168.0,5,5,1,5,1187,0,0,1187,1.0,0.0,2,0,3,1,3,6,8,0,0.0,5.0,1992.0,3.0,2.0,420.0,3.0,3.0,3,483,21,0,0,0,0,4.0,500,3,2010,10,185000,12.128111104060462,17.4971657451784,5.267171728403014
2339,527250040,190,3,100.0,34650,0,4,3,4,5,1,20,7,7,2,1.0,5,5,1955,1955,4,8,2,2,0.0,0.0,3,3,5,3.0,3.0,2.0,3.0,1056.0,1.0,0.0,0.0,1056.0,5,3,0,5,1056,0,0,1056,1.0,0.0,1,0,3,1,3,5,8,0,0.0,5.0,1955.0,3.0,2.0,572.0,3.0,3.0,3,264,0,0,0,0,0,0.0,0,1,2006,10,145000,11.884489021402711,17.145693374677023,5.161368002234975
624,535104120,20,3,92.0,10573,0,3,4,4,4,1,9,7,7,1,1.0,6,6,1961,1961,4,8,9,9,3.0,3.0,3,3,5,3.0,3.0,1.0,3.0,1312.0,1.0,0.0,141.0,1453.0,5,5,1,5,1453,0,0,1453,1.0,0.0,2,0,3,1,3,6,8,1,3.0,5.0,1961.0,2.0,2.0,530.0,3.0,3.0,3,0,49,0,0,288,0,4.0,0,4,2009,10,187500,12.141534124392603,17.516531070045332,5.273001272063738
86,532376160,20,3,65.0,8450,0,4,4,4,5,1,6,1,7,1,1.0,5,8,1965,2009,2,8,9,9,0.0,0.0,3,4,5,3.0,3.0,1.0,6.0,553.0,4.0,117.0,224.0,894.0,5,5,1,5,894,0,0,894,1.0,0.0,1,0,3,1,3,5,8,1,4.0,1.0,1973.0,1.0,1.0,336.0,3.0,3.0,3,416,144,0,0,0,0,3.0,0,4,2010,10,138500,11.83862560460953,17.079526450711274,5.141449773400467
1534,909277040,50,3,0.0,11700,0,3,2,4,5,2,22,7,7,1,1.5,5,6,1937,1995,2,8,1,1,0.0,0.0,3,3,5,3.0,3.0,1.0,4.0,606.0,1.0,0.0,336.0,942.0,5,5,1,5,1265,673,0,1938,0.0,0.0,2,0,4,1,4,7,6,1,4.0,1.0,1937.0,1.0,1.0,240.0,3.0,3.0,3,0,40,0,0,0,0,0.0,0,7,2008,10,198000,12.196022309676673,17.595140904741697,5.296665190261531
1957,535450190,50,3,60.0,8064,0,4,4,4,4,1,9,9,7,1,1.5,5,7,1949,2006,2,8,9,9,0.0,0.0,3,4,5,3.0,3.0,2.0,1.0,0.0,1.0,0.0,672.0,672.0,5,5,1,5,672,252,0,924,0.0,0.0,1,0,3,1,3,6,8,1,1.0,1.0,2003.0,1.0,2.0,576.0,3.0,3.0,3,0,0,0,0,0,0,3.0,2000,7,2007,10,122900,11.719126295554126,16.907125390147385,5.089551882886454
380,527355150,20,3,80.0,9600,0,4,4,4,5,1,9,4,7,1,1.0,8,5,1981,1981,4,1,14,14,0.0,0.0,4,3,4,4.0,3.0,1.0,5.0,1104.0,1.0,0.0,1420.0,2524.0,5,3,1,5,2524,0,0,2524,1.0,0.0,2,1,4,1,4,9,8,1,4.0,5.0,1981.0,3.0,2.0,542.0,3.0,3.0,3,474,120,0,0,0,0,3.0,0,7,2009,10,278000,12.535376392672774,18.084725357385594,5.444044795918076
2860,909276010,70,3,0.0,11435,0,3,2,4,4,2,22,7,7,1,2.0,8,7,1929,1950,2,8,14,4,0.0,0.0,3,3,4,4.0,3.0,1.0,1.0,0.0,1.0,0.0,792.0,792.0,5,2,1,5,792,725,0,1517,0.0,0.0,1,0,3,1,4,7,8,2,4.0,1.0,1931.0,1.0,2.0,400.0,3.0,3.0,3,0,0,0,0,0,0,0.0,0,6,2006,10,230000,12.345834587905333,17.811274335606463,5.361727836017593
2517,533250130,120,3,30.0,9549,0,3,4,4,3,1,1,7,7,5,1.0,8,5,1995,1996,4,8,14,14,0.0,0.0,4,4,4,4.0,4.0,3.0,2.0,437.0,6.0,1057.0,0.0,1494.0,5,5,1,5,1494,0,0,1494,1.0,0.0,1,1,2,1,5,6,8,1,4.0,5.0,1995.0,3.0,2.0,481.0,3.0,3.0,3,0,30,0,0,216,0,0.0,0,4,2006,10,270000,12.506177237980511,18.042599881712917,5.431363764158987
1933,535302070,20,3,60.0,10950,0,4,4,4,5,1,9,7,7,1,1.0,6,6,1952,1952,4,8,2,2,0.0,0.0,3,3,5,3.0,3.0,1.0,5.0,441.0,1.0,0.0,507.0,948.0,5,3,1,5,948,0,0,948,0.0,0.0,1,0,2,1,3,5,8,0,0.0,1.0,1952.0,1.0,2.0,410.0,3.0,3.0,1,0,48,0,0,0,0,0.0,0,4,2007,10,125000,11.736069016284437,16.931568569324174,5.096910013008056
820,906340110,20,3,79.0,10637,0,4,4,4,5,1,23,7,7,1,1.0,8,5,2007,2008,4,8,3,3,1.0,336.0,4,3,4,5.0,3.0,4.0,6.0,1288.0,1.0,0.0,417.0,1705.0,5,5,1,5,1718,0,0,1718,1.0,0.0,2,0,3,1,4,7,8,1,4.0,5.0,2007.0,2.0,3.0,826.0,3.0,3.0,3,208,44,0,0,0,0,0.0,0,9,2009,10,297000,12.601487417784837,18.18010340546285,5.472756449317212
675,535426150,20,3,80.0,9000,0,3,2,4,5,2,9,7,7,1,1.0,6,6,1958,1958,1,3,2,2,3.0,82.0,3,3,5,4.0,3.0,4.0,1.0,0.0,1.0,0.0,160.0,160.0,5,2,1,5,1142,0,0,1142,0.0,0.0,1,0,2,1,3,5,8,1,4.0,4.0,1958.0,2.0,1.0,384.0,3.0,3.0,3,0,28,64,0,0,0,0.0,0,4,2009,10,113500,11.639558115903595,16.792332771953003,5.054995861529141
2910,923225240,160,2,41.0,2665,0,4,4,4,5,1,15,7,7,5,2.0,5,6,1977,1977,2,8,12,12,0.0,0.0,3,3,4,3.0,3.0,1.0,5.0,548.0,3.0,173.0,36.0,757.0,5,5,1,5,925,550,0,1475,0.0,0.0,2,0,4,1,3,6,8,1,3.0,5.0,1977.0,2.0,1.0,336.0,3.0,3.0,3,104,26,0,0,0,0,0.0,0,7,2006,10,127000,11.751942365440728,16.954468971434252,5.103803720955957
21,527358140,20,3,105.0,11751,0,3,4,4,5,1,9,7,7,1,1.0,6,6,1977,1977,4,8,7,7,3.0,480.0,3,3,5,4.0,3.0,1.0,4.0,705.0,1.0,0.0,1139.0,1844.0,5,5,1,5,1844,0,0,1844,0.0,0.0,2,0,3,1,3,7,8,1,3.0,5.0,1977.0,2.0,2.0,546.0,3.0,3.0,3,0,122,0,0,0,0,3.0,0,1,2010,6,190000,12.154779351142624,17.535639892993036,5.278753600952829
1873,534177210,20,3,80.0,9600,0,4,4,4,5,1,9,7,7,1,1.0,7,6,1973,1973,4,8,11,11,3.0,320.0,3,3,5,3.0,3.0,1.0,5.0,916.0,1.0,0.0,326.0,1242.0,5,2,1,5,1242,0,0,1242,0.0,0.0,1,1,3,1,3,6,8,1,3.0,5.0,1973.0,1.0,2.0,528.0,3.0,3.0,3,0,0,0,0,0,0,0.0,0,9,2007,10,175500,12.075394321888057,17.421111504966646,5.244277120801843
2125,907135050,20,3,60.0,8428,0,2,4,4,5,1,23,7,7,1,1.0,5,7,1994,1994,2,8,3,3,0.0,0.0,3,4,4,4.0,4.0,1.0,6.0,420.0,1.0,0.0,570.0,990.0,5,5,1,5,990,0,0,990,1.0,0.0,1,0,3,1,3,5,8,0,0.0,1.0,1995.0,1.0,1.0,384.0,3.0,3.0,3,256,0,0,0,0,0,0.0,0,7,2007,10,146000,11.891361900690473,17.155608843542105,5.164352855784437
1489,908102260,20,3,75.0,9937,0,4,4,4,5,1,21,7,7,1,1.0,5,6,1965,1965,2,8,11,11,0.0,0.0,4,3,5,3.0,3.0,1.0,4.0,830.0,2.0,290.0,136.0,1256.0,5,4,1,5,1256,0,0,1256,1.0,0.0,1,1,3,1,3,6,8,0,0.0,5.0,1965.0,3.0,1.0,276.0,3.0,3.0,3,736,68,0,0,0,0,0.0,0,6,2008,10,147500,11.901583454762012,17.17035542891129,5.168792020314182
983,923275040,85,3,0.0,9101,0,3,4,4,4,1,14,7,7,1,3.0,5,6,1978,1978,2,8,7,7,3.0,104.0,3,4,4,4.0,3.0,3.0,6.0,1097.0,1.0,0.0,0.0,1097.0,5,5,1,5,1110,0,0,1110,1.0,0.0,1,0,1,1,4,4,8,1,3.0,5.0,1978.0,3.0,2.0,602.0,3.0,3.0,3,303,30,0,0,0,0,0.0,0,7,2009,10,165500,12.016726473799254,17.336471691469306,5.218797998111738
1325,902406090,50,2,81.0,12150,0,4,4,4,5,1,8,7,7,1,1.5,5,5,1954,1954,2,8,9,9,3.0,335.0,3,3,6,3.0,3.0,1.0,1.0,0.0,1.0,0.0,1050.0,1050.0,5,5,0,3,1050,745,0,1795,0.0,0.0,2,0,4,1,3,7,8,0,0.0,5.0,1954.0,1.0,1.0,352.0,2.0,3.0,3,0,0,0,0,0,0,0.0,0,11,2008,10,131500,11.786762130599957,17.00470327395439,5.118925752825777
1378,905102170,20,3,70.0,11200,0,4,4,4,5,1,6,7,7,1,1.0,5,5,1965,1965,4,8,11,11,0.0,0.0,3,3,5,3.0,3.0,1.0,3.0,906.0,1.0,0.0,134.0,1040.0,5,5,1,5,1040,0,0,1040,1.0,0.0,1,0,3,1,3,5,8,0,0.0,1.0,1965.0,1.0,1.0,384.0,3.0,3.0,3,0,0,0,0,0,0,0.0,0,2,2008,10,129500,11.771436160121729,16.98259257234864,5.112269768417271
1537,909281110,70,3,100.0,9670,0,3,2,4,5,2,22,7,7,1,2.0,8,6,1935,1950,2,8,14,4,1.0,40.0,3,3,4,3.0,2.0,1.0,2.0,210.0,1.0,0.0,398.0,608.0,5,3,1,5,983,890,0,1873,0.0,0.0,1,1,4,1,3,9,8,2,4.0,1.0,1935.0,3.0,2.0,786.0,2.0,3.0,3,0,0,207,0,0,0,0.0,0,6,2008,10,257076,12.45712704000522,17.97183540433934,5.410061533842056
905,909101140,50,3,60.0,10998,0,4,4,4,5,1,21,7,7,1,1.5,5,5,1941,1960,2,8,2,2,0.0,0.0,3,3,5,3.0,3.0,1.0,2.0,408.0,4.0,420.0,156.0,984.0,5,5,1,5,984,620,0,1604,0.0,0.0,2,0,3,1,3,6,6,0,0.0,1.0,1977.0,1.0,2.0,660.0,3.0,3.0,3,0,68,0,0,0,0,0.0,0,7,2009,10,117000,11.669929213779893,16.83614900424549,5.068185861746161
1532,909275050,70,3,60.0,7200,0,4,2,4,5,2,22,7,7,1,2.0,7,6,1931,2000,2,8,4,1,0.0,0.0,3,2,6,4.0,3.0,1.0,1.0,0.0,1.0,0.0,776.0,776.0,5,3,1,5,851,651,0,1502,0.0,0.0,1,1,3,1,3,6,8,1,4.0,5.0,1931.0,2.0,1.0,270.0,3.0,3.0,2,0,0,112,0,0,0,3.0,0,2,2008,10,149000,11.911701584927597,17.184952805124247,5.173186268412274
132,534475100,20,3,80.0,9920,0,4,4,4,5,1,9,7,7,1,1.0,5,5,1954,1954,2,8,11,11,1.0,110.0,3,3,5,3.0,3.0,1.0,3.0,354.0,2.0,290.0,412.0,1056.0,5,3,1,5,1063,0,0,1063,1.0,0.0,1,0,3,1,3,6,8,0,0.0,5.0,1954.0,2.0,1.0,280.0,3.0,3.0,3,0,0,164,0,0,0,3.0,0,2,2010,10,128000,11.759785542901755,16.96578428466209,5.107209969647869
1078,528188090,160,3,36.0,2448,0,4,4,4,5,1,10,7,7,4,2.0,7,5,2003,2004,2,8,3,1,1.0,106.0,4,3,4,4.0,3.0,1.0,1.0,0.0,1.0,0.0,764.0,764.0,5,5,1,5,764,862,0,1626,0.0,0.0,2,1,2,1,4,6,8,0,0.0,3.0,2003.0,2.0,2.0,474.0,3.0,3.0,3,0,27,0,0,0,0,0.0,0,10,2008,10,155000,11.951180395901384,17.241908689936324,5.190331698170292
2511,533221080,160,1,0.0,2998,0,4,4,4,5,1,4,7,7,5,2.0,6,5,2000,2000,2,8,9,9,3.0,513.0,4,3,4,4.0,3.0,1.0,6.0,353.0,1.0,0.0,403.0,756.0,5,5,1,5,768,756,0,1524,0.0,0.0,2,1,2,1,4,4,8,0,0.0,1.0,2000.0,1.0,2.0,440.0,3.0,3.0,3,0,32,0,0,0,0,0.0,0,6,2006,10,166000,12.01974306733868,17.340823716009012,5.220108088040055
912,909250220,50,3,65.0,7804,0,4,4,4,5,1,7,7,7,1,1.5,4,3,1928,1950,2,8,1,7,0.0,0.0,3,3,6,3.0,3.0,1.0,4.0,622.0,1.0,0.0,500.0,1122.0,5,3,1,5,1328,653,0,1981,1.0,0.0,2,0,4,1,4,7,6,2,3.0,1.0,1981.0,1.0,2.0,576.0,3.0,3.0,3,431,44,0,0,0,0,3.0,0,12,2009,10,135000,11.813030057420567,17.042599881712917,5.1303337684950066
2351,527356020,60,3,80.0,16692,0,3,4,4,5,1,9,5,7,1,2.0,7,5,1978,1978,2,8,7,7,3.0,184.0,3,3,5,4.0,3.0,1.0,4.0,790.0,2.0,469.0,133.0,1392.0,5,3,1,5,1392,1392,0,2784,1.0,0.0,3,1,5,1,4,12,8,2,3.0,5.0,1978.0,2.0,2.0,564.0,3.0,3.0,3,0,112,0,0,440,519,3.0,2000,7,2006,10,250000,12.429216196844383,17.931568569324174,5.3979400086720375
330,923226250,160,2,21.0,1476,0,4,4,4,5,1,15,7,7,4,2.0,4,7,1970,1970,2,8,12,12,0.0,0.0,3,3,5,3.0,3.0,1.0,6.0,176.0,1.0,0.0,370.0,546.0,5,5,1,5,546,546,0,1092,0.0,0.0,1,1,3,1,3,5,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,200,26,0,0,0,0,0.0,0,3,2010,10,76000,11.238488619268468,16.213711798105674,4.880813592280791
2586,535305120,20,3,75.0,10170,0,4,4,4,4,1,9,7,7,1,1.0,6,6,1951,1951,4,8,2,2,3.0,522.0,3,3,5,3.0,3.0,1.0,1.0,0.0,1.0,0.0,216.0,216.0,5,3,1,5,1575,0,0,1575,0.0,0.0,1,1,2,1,4,5,8,1,4.0,5.0,1951.0,1.0,2.0,400.0,3.0,3.0,3,0,0,0,0,0,0,0.0,0,6,2006,10,155000,11.951180395901384,17.241908689936324,5.190331698170292
224,905106140,60,3,80.0,9364,0,4,4,4,4,1,6,7,7,1,2.0,6,7,1969,1969,2,8,11,11,1.0,143.0,3,3,5,3.0,3.0,1.0,5.0,371.0,1.0,0.0,292.0,663.0,5,3,1,5,663,689,0,1352,0.0,0.0,1,1,4,1,3,7,8,0,0.0,5.0,1969.0,3.0,1.0,299.0,3.0,3.0,3,379,36,0,0,0,0,3.0,0,3,2010,10,158000,11.970350312009105,17.26956503283919,5.198657086954422
98,533212020,160,1,24.0,2544,0,4,4,4,5,1,4,7,7,4,2.0,7,5,2004,2005,2,8,9,9,0.0,0.0,4,3,4,4.0,3.0,1.0,6.0,368.0,5.0,42.0,190.0,600.0,5,5,1,5,600,600,0,1200,1.0,0.0,2,1,2,1,4,4,8,0,0.0,1.0,2004.0,2.0,2.0,480.0,3.0,3.0,3,0,172,0,0,0,0,0.0,0,2,2010,10,149500,11.915051671812877,17.189785958860192,5.174641192660449
2565,534479300,20,3,82.0,9888,0,4,4,4,5,1,9,7,7,1,1.0,5,6,1954,1975,2,8,9,9,0.0,0.0,3,4,5,3.0,3.0,1.0,4.0,486.0,1.0,0.0,450.0,936.0,5,3,1,4,936,0,0,936,0.0,0.0,1,0,2,1,3,5,8,0,0.0,5.0,1954.0,1.0,1.0,240.0,3.0,3.0,3,0,0,160,0,0,0,3.0,0,3,2006,10,121000,11.703545824578878,16.88464752193668,5.08278537031645
